name,性味归经,功效,主治,class,名医对于药物的用法,classExp
茜草,苦、寒。归肝经。,凉血、祛瘀、止血、通经,用于吐血、衄血、崩漏、外伤出血、瘀阻经闭、关节痹痛、跌扑肿痛,止血药,清热止血、治血尿,凉血止血类
仙鹤草,苦、涩、平。归心、肝经。,收敛止血、截疟、止痢、解毒、补虚,用于咯血、吐血、崩漏下血、疟疾、血痢、痈肿疮毒、阴痒带下、脱力劳伤,止血药,止血、治血尿,凉血止血类
小蓟,甘、苦、凉。归心、肝经。,凉血止血、散瘀解毒消痈,用于衄血、吐血、尿血、血淋、便血、崩漏、外伤出血、痈肿疮毒,止血药,清热止血、治血尿,凉血止血类
合欢皮,甘、平。归心、肝、肺经。,解郁安神、活血消肿,用于心神不安、忧郁失眠、肺痈、疮肿、跌扑伤痛,养心安神药,疏肝、安神,安神类
酸枣仁,甘、酸、平。归肝、胆、心经。,养心补肝、宁心安神、敛汗、生津,用于虚烦不眠、惊悸多梦、体虚多汗、津伤口渴,养心安神药,安神敛阴,安神类
大黄,苦、寒。归脾、胃、大肠、肝、心包经。,泻下攻积、清热泻火、凉血解毒、逐瘀通经、利湿退黄,用于实热积滞便秘、血热吐衄、目赤咽肿、痈肿疔疮、肠痈腹痛、瘀血经闭、产后瘀阻、跌打损伤、湿热痢疾、黄疸尿赤、淋证、水肿；外治烧烫伤,泻下药,泄浊毒、活血、通腑气、降肌酐,泄浊毒类
积雪草,苦、辛、寒。归肝、脾、肾经。,清热利湿、解毒消肿,用于湿热黄疸、中暑腹泻、石淋血淋、痈肿疮毒、跌扑损伤,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热泄浊毒,泄浊毒类
三七,甘、微苦、温。归肝、胃经。,散瘀止血、消肿定痛,用于咯血、吐血、衄血、便血、崩漏、外伤出血、胸腹刺痛、跌扑肿痛,止血药,活血、止血、降蛋白尿、抗肾脏纤维化,活血类
丹参,苦、微寒。归心、肝经。,活血祛瘀、通经止痛、清心除烦、凉血消痈,用于胸痹心痛、脘腹胁痛、癥瘕积聚、热痹疼痛、心烦不眠、月经不调、痛经经闭、疮疡肿痛,活血祛瘀药,养血活血、化瘀,活血类
桃仁,苦、甘、平。归心、肝、大肠经。,活血祛瘀、润肠通便、止咳平喘,用于经闭痛经、癥瘕痞块、肺痈肠痈、跌扑损伤、肠燥便秘、咳嗽气喘,活血祛瘀药,活血化瘀、润肠、泄浊毒,活血类
延胡索,辛、苦、温。归肝、脾经。,活血、行气、止痛,用于胸胁、脘腹疼痛、胸痹心痛、经闭痛经、产后瘀阻、跌扑肿痛,活血祛瘀药,理气止痛,活血类
泽兰,苦、辛、微温。归肝、脾经。,活血调经、祛瘀消痈、利水消肿,用于月经不调、经闭、痛经、产后瘀血腹痛、疮痈肿毒、水肿腹水,活血祛瘀药,利水活血,活血类
赤芍,苦、微寒。归肝经。,清热凉血、散瘀止痛,用于热入营血、温毒发斑、吐血衄血、目赤肿痛、肝郁胁痛、经闭痛经、癥瘕腹痛、跌扑损伤、痈肿疮疡,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,凉血活血,活血类
白芍,苦、酸、微寒。归肝、脾经。,养血调经、敛阴止汗、柔肝止痛、平抑肝阳,用于血虚萎黄、月经不调、自汗、盗汗、胁痛、腹痛、四肢挛痛、头痛眩晕,补虚药（补气/养血/助阳/滋阴/祛风湿）,养阴、缓急止痛、通便、降血压,活血类
当归,甘、辛、温。归肝、心、脾经。,补血活血、调经止痛、润肠通便,用于血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、风湿痹痛、跌扑损伤、痈疽疮疡、肠燥便秘,补虚药（补气/养血/助阳/滋阴/祛风湿）,活血补血,活血类
白花蛇舌草,甘、淡、凉。入胃、大肠、小肠经。,清热、利湿、解毒、抗癌,,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、降蛋白尿,清热类（利湿/解毒）
金银花,甘、寒。归肺、心、胃经。,清热解毒、疏散风热,用于痈肿疔疮、喉痹、丹毒、热毒血痢、风热感冒、温病发热,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、利咽,清热类（利湿/解毒）
蒲公英,苦、甘、寒。归肝、胃经。,清热解毒、消肿散结、利尿通淋,用于疔疮肿毒、乳痈、瘰疬、目赤、咽痛、肺痈、肠痈、湿热黄疸、热淋涩痛,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、降蛋白尿、利咽止咳、中药抗感染作用（胃肠道、泌尿道）,清热类（利湿/解毒）
土茯苓,甘、淡、平。归肝、胃经。,解毒、除湿、通利关节,用于梅毒及汞中毒所致的肢体拘挛、筋骨疼痛；湿热淋浊、带下、痈肿、瘰疬、疥癣,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热利湿、消肿止痛、解毒、降尿酸,清热类（利湿/解毒）
鱼腥草,辛、微寒。归肺经。,清热解毒、消痈排脓、利尿通淋,用于肺痈吐脓、痰热喘咳、热痢、热淋、痈肿疮毒,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、化热痰,清热类（利湿/解毒）
白茅根,甘、寒。归肺、胃、膀胱经。,凉血止血、清热利尿,用于血热吐血、衄血、尿血、热病烦渴、湿热黄疸、水肿尿少、热淋涩痛,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热通淋、治血尿,清热类（利湿/解毒）
板蓝根,苦、寒。归心、胃经。,清热解毒、凉血利咽,用于温疫时毒、发热咽痛、温毒发斑、痄腮、烂喉丹痧、大头瘟疫、丹毒、痈肿,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热解毒、利咽,清热类（利湿/解毒）
石韦,甘、苦、微寒。归肺、膀胱经。,利尿通淋、清肺止咳、凉血止血,用于热淋、血淋、石淋、小便不通、淋沥涩痛、肺热喘咳、吐血、衄血、尿血、崩漏,清热类（清热解毒/清热利湿/清热凉血/清热通淋/清热燥湿/清热泻火）,清热利湿、降蛋白尿,清热类（利湿/解毒）
