name,xx,yy,fj,color,rgb
桃仁,292.7025318,-583.6187363, , ,"rgb(212.2497294152338,100.15019934628894,101.43105436553653)"
泽兰,277.3356438,-815.3596878, , ,"rgb(130.21531098081982,114.01530164383269,98.28968770055239)"
丹参,214.8224354,-670.6487179, , ,"rgb(171.78798786063206,111.97528333892663,111.84952946698812)"
茜草,191.2685871,-741.4805412, , ,"rgb(0,124,128)"
小蓟,297.4273443,-662.2830868, , ,"rgb(232,78,60)"
白茅根,263.984251,-968.1796074,十灰散,"rgb(211, 93, 109)","rgb(144.249590299199,149.12078445105365,140.42614223547187)"
仙鹤草,251.4322996,-616.0720825, , ,"rgb(209.24563213558167,103.79356473787054,102.4301683101741)"
鱼腥草,216.5284395,-878.3743858, , ,"rgb(117.93880970321752,137.68136769999575,130.45291071662842)"
太子参,450.3205299,-994.2559242, , ,"rgb(167.1710309638842,149.1980263258727,135.851432960559)"
黄精,406.6632748,-1012.418842, , ,"rgb(162.43375381229316,152.85321994975516,145.22514047165112)"
黄芩,228.1280756,-728.0767918, , ,"rgb(128.69378169829213,111.43752925639882,109.76415581484994)"
女贞子,353.2286882,-671.7360973,二至丸,"rgb(226, 162, 190)","rgb(182.89838773136242,67.7402353459887,64.31415590441435)"
墨旱莲,389.4002438,-697.5903511, , ,"rgb(130.40547805107497,60.06280681863961,65.23929174765873)"
茯苓,362.533927,-1064.823151, , ,"rgb(161.113861086297,164.22011060632624,164.05844833327748)"
陈皮,281.7278862,-881.4469337, , ,"rgb(136.42600461750592,128.32680828512005,110.32361727407567)"
薏苡仁,334.2226505,-1011.558628, , ,"rgb(156.32647185121337,153.80959609590417,146.650943518552)"
酸枣仁,334.7590923,-608.6952209, , ,"rgb(205.3983196655049,85.07902547147117,86.06332796603172)"
黄芪,343.0436373,-955.0682068, , ,"rgb(156.96590897824566,140.26975470306624,120.56975473352233)"
车前子,444.9765205,-735.8710766, , ,"rgb(88.05286761011335,72.87787212137539,71.98079775636417)"
甘草,397.3070383,-1043.750668,完带汤,"rgb(206, 207, 123)","rgb(160,160,160)"
山药,396.2347746,-969.1259384, , ,"rgb(164.36186113448326,142.2653026693033,121.82993073280986)"
白芍,255.180192,-747.8413105, , ,"rgb(139.72346305722021,105.90357003810769,98.85952433351838)"
菟丝子,409.8154068,-893.8652039,左归丸,"rgb(74, 161, 95)","rgb(174,121,50)"
山茱萸,379.0473461,-757.0333481, , ,"rgb(135.15189154950752,79.37780784363915,59.40183354497909)"
熟地黄,430.9466839,-693.8779354, , ,"rgb(0,49,75)"
当归,346.9336033,-824.6092796,当归六黄汤,"rgb(8, 133, 194)","rgb(145.9032886908654,104.93639394955919,70.47504686343785)"
地黄,409.9891186,-646.3778973, , ,"rgb(139.55925338483866,67.12153419295842,81.53211622181789)"
