Pinyin Name,Name,symp1,symp2,Name2,sqww1,sqww2
bai shu,白术,35.480033,38.6662295,白术,9.81040986,3.14679553
dang shen,党参,74.721928,-1.769608,党参,30.17874111,-19.73117412
gan cao,甘草,-55.421431,-12.841886,甘草,37.73872982,-15.2155344
huang jing,黄精,57.118866,8.2703845,黄精,32.22087779,-27.13972105
huang qi,黄芪,-74.872374,19.392336,黄芪,23.58710654,-11.60389905
shan yao,山药,-44.521834,-22.0111858,山药,36.43252877,-24.59579957
tai zi shen,太子参,53.742617,18.1651964,太子参,24.28626684,-19.37148362
bai shao,白芍,-21.69106,-43.573883,白芍,3.90970092,40.60045203
dang gui,当归,23.192544,-58.3580617,当归,-37.31812331,-9.6940812
shu di huang,熟地黄,44.721379,-60.6381379,熟地黄,-26.17879277,-19.03499455
sheng di huang,生地黄,51.903587,-59.2800168,生地黄,-19.06967392,-4.34535556
tu si zi,菟丝子,43.092766,-35.0331368,菟丝子,-9.38560168,-40.89302783
yin yang huo,淫羊藿,-18.486782,-33.3228732,淫羊藿,-30.28316407,-16.57711401
mo han lian,墨旱莲,51.30518,-46.5221292,墨旱莲,-15.52913267,-7.6591607
nv zhen zi,女贞子,42.8683,-47.7844926,女贞子,-5.26785572,-18.1705215
sang ji sheng,桑寄生,-27.100166,32.2251077,桑寄生,-6.32318984,-25.74314161
bai hua she she cao,白花蛇舌草,61.032692,44.1174391,白花蛇舌草,45.71331955,0.01240092
bai mao gen,白茅根,-27.166439,-0.3359969,白茅根,-19.13109734,23.38697954
bai xian p,白鲜皮,44.328193,14.8576451,白鲜皮,-11.77598091,43.28074071
ban lan gen,板蓝根,-10.134001,-11.4396603,板蓝根,-12.97869246,36.05880911
yi yi ren,薏苡仁,45.466307,27.4547858,薏苡仁,44.85888736,-6.16670806
che qian zi,车前子,-51.268569,-3.8462875,车前子,-14.07887628,1.54160741
chen pi,陈皮,41.897654,48.7025427,陈皮,-47.55414764,3.20063225
chi shao,赤芍,-49.037771,18.2001797,赤芍,-0.03693832,33.64700944
da huang,大黄,-72.997797,-21.9841393,大黄,-3.37822472,47.20548371
dan shen,丹参,-69.797013,3.136057,丹参,-6.62223584,31.72377158
fu ling,茯苓,-46.831282,51.3565595,茯苓,40.23822222,-30.82349486
di fu zi,地肤子,-38.355456,0.5806439,地肤子,16.98357845,32.79260188
yu xing cao,鱼腥草,-29.225099,-18.6691693,鱼腥草,13.65490178,24.04940325
huang qin,黄芩,77.156624,10.8582067,黄芩,6.62572673,51.54382173
ji xue cao,积雪草,36.769517,20.7498179,积雪草,13.1339217,38.03384509
jin yin huang,金银花,-1.971608,-16.4762997,金银花,-24.67852841,24.00283233
ju hua,菊花,-30.315481,-48.1423275,菊花,-6.44955799,18.54297988
mai ya,麦芽,-38.085626,24.684426,麦芽,34.48736321,-9.42325639
niu xi,牛膝,5.402045,2.8424246,牛膝,-9.44608926,-28.95809753
qian cao,茜草,-36.136981,9.0174704,茜草,-0.37239141,27.75796771
san qi,三七,-26.236324,16.4352702,三七,5.82542374,7.05746001
sha ren,砂仁,46.102002,38.2431981,砂仁,-51.32023975,-7.97484647
shan zhu yu,山茱萸,31.976932,-50.2973695,山茱萸,-28.95402226,-26.32345827
shi wei,石韦,-16.108783,6.5398169,石韦,-13.37043749,21.00426707
tao ren,桃仁,-54.782675,27.6758658,桃仁,5.39126387,-27.5798318
suan zao ren,酸枣仁,59.094104,27.3602891,酸枣仁,14.22520666,-37.1455395
tu fu ling,土茯苓,-43.509609,40.161026,土茯苓,33.04351078,-1.6804518
xian he cao,仙鹤草,-39.459107,-9.5558553,仙鹤草,2.88441532,-33.86990985
xiao ji,小蓟,30.230818,15.2250646,小蓟,0.30830453,-16.94598556
yan hu suo,延胡索,-47.566909,8.1548164,延胡索,-43.55812322,-2.98926588
ze lan,泽兰,-59.659775,10.214231,泽兰,-40.68769253,0.45233227
zhi mu,知母,73.135862,18.5954856,知母,-19.10559601,15.33766217
,,,,合欢皮,17.85917562,-31.07800903
,,,,蒲公英,0.97147883,16.01714015
,,,,重楼,4.40502248,30.40292314
,,,,制何首乌,-19.81212726,-23.41933562
,,,,五指毛桃,23.89244863,-26.64671949
