xx,yy,herb,properties
-2.968632936,0.178786859,人参,"四气五味：甘,微苦,微温；归经：脾,肺,心,肾"
-3.140700817,0.942083657,白术,"四气五味：苦,甘,温；归经：脾,胃"
-4.655617714,-1.043939829,茯苓,"四气五味：甘,淡,平；归经：心,肺,脾,肾"
-4.523247719,-0.609639764,甘草,"四气五味：甘,平；归经：心,肺,脾,胃"
-4.429934025,-0.079158716,薏苡仁,"四气五味：甘,淡,凉；归经：脾,胃,肺"
-1.504244208,-0.00548108,桔梗,"四气五味：苦,辛,平；归经：肺"
-3.824779987,0.357004225,白扁豆,"四气五味：甘,微温；归经：脾,胃"
-4.528208733,-1.387471557,山药,"四气五味：甘,平；归经：脾,肺,肾"
-3.906730175,-0.022498643,大枣,"四气五味：甘,温；归经：脾,胃,心"
-3.413937092,0.252200156,黄芪,"四气五味：甘,微温；归经：肺,脾"
-4.269578934,-0.515816808,炙甘草,"四气五味：甘,平；归经：心,肺,脾,胃"
-3.238331079,-0.787130058,当归,"四气五味：甘,辛,温；归经：肝,心,脾"
-1.886649609,0.680230796,陈皮,"四气五味：苦,辛,温；归经：肺,脾"
-3.309570789,-1.132460117,升麻,"四气五味：辛,微甘,微寒；归经：肺,脾,胃,大肠"
-1.373338819,-1.060228109,柴胡,"四气五味：辛,苦,微寒；归经：肝,胆,肺"
-2.883019924,-0.620351553,防风,"四气五味：辛,甘,微温；归经：膀胱,肝,脾"
-2.77603507,-1.917709827,麦冬,"四气五味：甘,微苦,微寒；归经：心,肺,胃"
-2.738422632,-0.071033478,五味子,"四气五味：酸,甘,温；归经：肺,心,肾"
-1.581794739,-2.248958111,白芍,"四气五味：苦,酸,微寒；归经：肝,脾"
-2.987339973,-3.009689093,车前子,"四气五味：甘,寒；归经：肝,肾,肺,小肠"
-2.257733583,1.252760172,苍术,"四气五味：辛,苦,温；归经：脾,胃,肝"
-2.261112452,-3.802080393,熟地黄,"四气五味：甘,微温；归经：肝,肾"
-2.423458576,1.586563945,生姜,"四气五味：辛,微温；归经：肺,脾,胃"
-3.002579689,-0.276521504,桂枝,"四气五味：辛,甘,温；归经：心,肺,膀胱"
-3.841306448,-3.153040886,阿胶,"四气五味：甘,平；归经：肺,肝,肾"
-4.049615383,-0.543394983,火麻仁,"四气五味：甘,平；归经：脾,胃,大肠"
-2.297468424,-3.011219263,泽泻,"四气五味：甘,淡,寒；归经：肾,膀胱"
-1.513089895,-2.76542902,牡丹皮,"四气五味：苦,辛,微寒；归经：心,肝,肾"
-3.865788221,-3.743286133,枸杞子,"四气五味：甘,平；归经：肝,肾"
-4.109154224,-2.61918664,菟丝子,"四气五味：辛,甘,平；归经：肝,肾,脾"
-2.597402573,-4.429816246,鹿角胶,"四气五味：甘,咸,温；归经：肾,肝"
-3.590692997,-3.355566978,牛膝,"四气五味：苦,甘,酸,平；归经：肝,肾"
-2.100105047,-2.541544199,黄柏,"四气五味：苦,寒；归经：肾,膀胱"
-2.701319695,-2.368893623,知母,"四气五味：苦,甘,寒；归经：肺,胃,肾"
-2.664515972,-1.804931641,北沙参,"四气五味：甘,微苦,微寒；归经：肺,胃"
-1.91862309,-2.582026482,川楝子,"四气五味：苦,寒,有小毒；归经：肝,小肠,膀胱"
-1.977849483,-4.042625904,山茱萸,"四气五味：酸,涩,微温；归经：肝,肾"
-3.960914612,-1.899103045,附子,"四气五味：辛,甘,大热,有毒；归经：心,肾,脾"
-3.765055656,-2.320254803,肉桂,"四气五味：辛,甘,大热；归经：肾,脾,心,肝"
-2.559403658,-3.592699766,杜仲,"四气五味：甘,温；归经：肝,肾"
-2.753558159,-4.271862507,肉苁蓉,"四气五味：甘,咸,温；归经：肾,大肠"
-2.083695889,-3.465502024,巴戟天,"四气五味：甘,辛,微温；归经：肾,肝"
-2.545398951,-2.752537489,石斛,"四气五味：甘,微寒；归经：胃,肾"
-1.41849494,-0.615175426,薄荷,"四气五味：辛,凉；归经：肺,肝"
-4.61407423,-1.565720201,莲子,"四气五味：甘,涩,平；归经：脾,肾,心"
-2.168384314,1.319137931,砂仁,"四气五味：辛,温；归经：脾,胃,肾"
-1.60704124,-0.711083055,荆芥炭,"四气五味：辛,涩,微温；归经：肺,肝"
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心"
-3.057582855,-3.728332996,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃"
-2.4959867,-3.973608017,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾"
-2.003940582,0.899944186,补骨脂,"四气五味：辛,苦,温；归经：肾,脾"
-3.425074339,-0.160854667,龙眼肉,"四气五味：甘,温；归经：心,脾"
-3.735731125,-3.632935047,酸枣仁,"四气五味：甘,酸,平；归经：肝,胆,心"
-2.563746929,1.226793647,木香,"四气五味：辛,苦,温；归经：脾,胃,大肠,三焦,胆"
-2.309523344,0.324441075,远志,"四气五味：苦,辛,温；归经：心,肾,肺"
-1.73198545,-1.045446277,川芎,"四气五味：辛,温；归经：肝,胆,心包"
