xx,yy,herb,properties,rgb
-2.968632936,0.178786859,人参,"四气五味：甘,微苦,微温；归经：脾,肺,心,肾","rgb(160,160,160)"
-3.140700817,0.942083657,白术,"四气五味：苦,甘,温；归经：脾,胃","rgb(165.71676903622,173.7295911957145,169.9550310090675)"
-4.655617714,-1.043939829,茯苓,"四气五味：甘,淡,平；归经：心,肺,脾,肾","rgb(182.3674673705542,128.20207953756315,75.98261902110546)"
-4.523247719,-0.609639764,甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(191.12899035663816,133.3608192736958,96.20376731105564)"
-4.429934025,-0.079158716,薏苡仁,"四气五味：甘,淡,凉；归经：脾,胃,肺","rgb(191.78361522634768,145.85340465140956,121.47158060672417)"
-1.504244208,-0.00548108,桔梗,"四气五味：苦,辛,平；归经：肺","rgb(146.18335576334275,160.43249265874312,163.33337875126645)"
-3.824779987,0.357004225,白扁豆,"四气五味：甘,微温；归经：脾,胃","rgb(184.77508067024257,155.85431794952007,144.3885439559216)"
-4.528208733,-1.387471557,山药,"四气五味：甘,平；归经：脾,肺,肾","rgb(174,121,50)"
-3.906730175,-0.022498643,大枣,"四气五味：甘,温；归经：脾,胃,心","rgb(194.0919309746605,142.32278169127937,126.20546160679187)"
-3.413937092,0.252200156,黄芪,"四气五味：甘,微温；归经：肺,脾","rgb(179.01397706699456,154.63140073193674,148.56368356158123)"
-4.269578934,-0.515816808,炙甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(196.36560758129502,130.10964555978506,98.31060580752298)"
-3.238331079,-0.787130058,当归,"四气五味：甘,辛,温；归经：肝,心,脾","rgb(232,78,60)"
-1.886649609,0.680230796,陈皮,"四气五味：苦,辛,温；归经：肺,脾","rgb(152.0591635980303,172.446026098076,173.82546664114062)"
-3.309570789,-1.132460117,升麻,"四气五味：辛,微甘,微寒；归经：肺,脾,胃,大肠","rgb(214.1983648829281,82.19805173473704,54.86598749746533)"
-1.373338819,-1.060228109,柴胡,"四气五味：辛,苦,微寒；归经：肝,胆,肺","rgb(126.11312967574511,141.13270718345805,144.85597816753028)"
-2.883019924,-0.620351553,防风,"四气五味：辛,甘,微温；归经：膀胱,肝,脾","rgb(205.98891082211117,110.77880324858225,106.31507380777873)"
-2.77603507,-1.917709827,麦冬,"四气五味：甘,微苦,微寒；归经：心,肺,胃","rgb(159.48122867770735,90.80934315827943,80.12581590479982)"
-2.738422632,-0.071033478,五味子,"四气五味：酸,甘,温；归经：肺,心,肾","rgb(173.98680514402895,147.1885102069624,147.30196235178752)"
-1.581794739,-2.248958111,白芍,"四气五味：苦,酸,微寒；归经：肝,脾","rgb(0,124,128)"
-2.987339973,-3.009689093,车前子,"四气五味：甘,寒；归经：肝,肾,肺,小肠","rgb(111.72199149224612,77.35752905476322,70.64038591848173)"
-2.257733583,1.252760172,苍术,"四气五味：辛,苦,温；归经：脾,胃,肝","rgb(157.07472339920886,181.7496674647232,181.0207699574743)"
-2.261112452,-3.802080393,熟地黄,"四气五味：甘,微温；归经：肝,肾","rgb(20.7597682158671,78.92000747437316,92.89212991377518)"
-2.423458576,1.586563945,生姜,"四气五味：辛,微温；归经：肺,脾,胃","rgb(160.6405340988497,186.7535272511777,184.7567261929662)"
-3.002579689,-0.276521504,桂枝,"四气五味：辛,甘,温；归经：心,肺,膀胱","rgb(194.14246199921524,131.43109022834602,128.24725140250223)"
-3.841306448,-3.153040886,阿胶,"四气五味：甘,平；归经：肺,肝,肾","rgb(129.64564539178113,84.71096840694096,58.328554354366915)"
-4.049615383,-0.543394983,火麻仁,"四气五味：甘,平；归经：脾,胃,大肠","rgb(201.46685208146545,123.90812324963967,94.83607655346687)"
