herb,xx,yy
白扁豆,14.65978527,9.513235092
白芍,12.38781261,12.18961525
白术,14.60186291,9.2846632
白头翁,12.64338112,13.05992126
白芷,13.63412476,8.299510956
板蓝根,13.01016426,13.12999249
半夏,14.13132858,8.940090179
薄荷,12.76311588,8.833387375
鳖甲,13.38384914,11.74724102
槟榔,13.91357994,8.2078228
柴胡,11.97350025,11.42608833
陈皮,13.79045391,8.903289795
赤芍,12.58838081,11.93789101
川贝母,14.49792004,13.26351547
川芎,13.16576481,9.843824387
大黄,11.93157768,12.85854244
丹参,11.8939743,12.2536478
淡竹叶,15.34887695,12.75925541
当归,13.54918957,10.00778389
地骨皮,14.2449913,11.51007557
地黄,13.90628052,11.6269722
防风,13.7849102,9.71850872
蜂蜜,15.47900105,10.36977673
茯苓,15.56180668,10.89439106
甘草,15.78024673,10.75037861
葛根,14.63266468,10.146245
厚朴,13.95370102,8.478273392
胡黄连,12.37334538,12.54133034
滑石粉,15.29848766,12.22805595
黄柏,13.08891487,12.24213123
黄连,12.16651249,13.04343987
黄芪,14.8070097,9.679710388
黄芩,12.60699272,13.28019238
僵蚕,12.67381954,9.053496361
金银花,15.54740524,12.43035698
荆芥炭,13.20526791,8.999073982
桔梗,12.31416702,8.987830162
连翘,13.48907948,13.34911442
龙胆,12.3193779,11.62170887
麻黄,13.32111835,8.608868599
马勃,12.74641132,8.714697838
麦冬,14.0455389,13.17336369
芒硝,12.54435349,12.6883955
没药,12.3148756,10.13250065
牡丹皮,11.85710716,11.84524918
木通,13.2485857,13.35712624
木香,14.07097149,8.388224602
牛蒡子,13.9044342,12.59880161
牛膝,13.85041523,11.19984913
秦艽,12.17142963,10.57996559
秦皮,12.24399757,11.91478348
青蒿,12.22982597,11.3500824
人参,15.03063679,9.909865379
肉桂,13.2063427,10.45853043
乳香,12.97009754,9.981665611
桑白皮,15.07508564,12.46360111
升麻,14.84619427,10.54172897
石膏,15.10487556,12.33476925
石斛,14.59592247,12.21552563
熟地黄,14.07331371,11.0332613
水牛角,12.01557827,12.3051405
天花粉,14.78331947,12.76857376
吴茱萸,12.66475773,10.41291618
西洋参,14.36651325,13.40520668
香薷,13.20750999,8.808053017
玄参,14.47839737,12.74432564
银柴胡,14.35911846,12.00121021
皂角刺,13.24759388,9.313106537
泽泻,14.94112873,11.88385677
知母,14.54339314,12.62162018
栀子,13.56966114,12.92961788
炙甘草,15.79423523,10.76484489
猪苓,14.84781837,11.46231842
