herb,xx,yy,rgb
白扁豆,14.65978527,9.513235092,"rgb(166.1013998633537,126.70604075381716,77.54208662310624)"
白芍,12.38781261,12.18961525,"rgb(91.24106321107644,120.64406131748709,125.50674786813028)"
白术,14.60186291,9.2846632,"rgb(172.2603167893332,130.56654905248368,81.49172231764315)"
白头翁,12.64338112,13.05992126,"rgb(151.07800089146875,121.27729057935431,124.07545762114843)"
白芷,13.63412476,8.299510956,"rgb(191.94573871709596,148.24454561517618,106.17914060162576)"
板蓝根,13.01016426,13.12999249,"rgb(155.92567772734157,116.43864052653282,120.28460458720757)"
半夏,14.13132858,8.940090179,"rgb(174.82865086906187,136.18550839909676,92.58328095798709)"
薄荷,12.76311588,8.833387375,"rgb(170.68197041852332,144.57773224769568,113.36540462870255)"
鳖甲,13.38384914,11.74724102,"rgb(31.64942121112894,83.58490866173352,97.57363174508268)"
槟榔,13.91357994,8.2078228,"rgb(197.31483797042543,149.07644356185682,104.03419975465843)"
柴胡,11.97350025,11.42608833,"rgb(78.33318299272784,130.38417782928298,129.71333725178064)"
陈皮,13.79045391,8.903289795,"rgb(171.55175180226948,137.4109189899601,97.82046518201292)"
赤芍,12.58838081,11.93789101,"rgb(57.90454186069601,114.91709528626727,121.49692449693224)"
川贝母,14.49792004,13.26351547,"rgb(200.80747759271642,108.67006480943166,107.58269348631673)"
川芎,13.16576481,9.843824387,"rgb(124.1370786047942,123.54779008949649,101.67919579031664)"
大黄,11.93157768,12.85854244,"rgb(149.77238293317504,132.34496005642166,131.80454935886243)"
丹参,11.8939743,12.2536478,"rgb(117.93146999318714,131.19405819010922,131.8444655077707)"
淡竹叶,15.34887695,12.75925541,"rgb(232,78,60)"
当归,13.54918957,10.00778389,"rgb(118.28155671650018,116.68964712203243,93.53642328427784)"
地骨皮,14.2449913,11.51007557,"rgb(76.39515299973142,88.44012672172857,93.70733028134441)"
地黄,13.90628052,11.6269722,"rgb(0,49,75)"
防风,13.7849102,9.71850872,"rgb(136.89683722267475,121.73177557721185,90.77141704636136)"
蜂蜜,15.47900105,10.36977673,"rgb(174,121,50)"
茯苓,15.56180668,10.89439106,"rgb(174.43135732879497,125.36993824289745,83.94308598168253)"
甘草,15.78024673,10.75037861,"rgb(185.85719680816513,126.95681431249845,76.80343648717259)"
葛根,14.63266468,10.146245,"rgb(143.49985010418905,115.85706054186079,73.9984059952189)"
厚朴,13.95370102,8.478273392,"rgb(188.70966297142078,144.49312912132703,100.39557817263305)"
胡黄连,12.37334538,12.54133034,"rgb(120.00284527275768,122.25418666637204,126.06928993453421)"
滑石粉,15.29848766,12.22805595,"rgb(177.65140440855484,146.68694966404152,142.01056270474888)"
黄柏,13.08891487,12.24213123,"rgb(88.1852191490764,102.36951595538885,112.62461106996098)"
黄连,12.16651249,13.04343987,"rgb(154.84089271607394,129.33705667122177,129.52772406868527)"
黄芪,14.8070097,9.679710388,"rgb(165.08049003131367,124.59035094097732,73.04019786231551)"
黄芩,12.60699272,13.28019238,"rgb(163.7961954965068,124.09563169298175,125.2233343301653)"
僵蚕,12.67381954,9.053496361,"rgb(162.4336715805865,141.99208497374096,113.49268602616253)"
金银花,15.54740524,12.43035698,"rgb(211.33329025767372,123.33046687006241,111.58882969477678)"
荆芥炭,13.20526791,8.999073982,"rgb(163.63623166972306,138.5109356122029,105.73868654916328)"
桔梗,12.31416702,8.987830162,"rgb(168.18665393558936,146.55426472832355,119.00638301182076)"
连翘,13.48907948,13.34911442,"rgb(174.77912086805037,114.04972047312047,116.69440947227127)"
龙胆,12.3193779,11.62170887,"rgb(0,124,128)"
麻黄,13.32111835,8.608868599,"rgb(179.2196185153259,144.4149002256082,107.1811404287587)"
马勃,12.74641132,8.714697838,"rgb(175.27581076108618,146.53395789734458,114.31214483167496)"
麦冬,14.0455389,13.17336369,"rgb(179.37140024468238,110.16640146087225,113.18189230350852)"
芒硝,12.54435349,12.6883955,"rgb(127.66947128036841,119.69346799588118,124.07545699215449)"
没药,12.3148756,10.13250065,"rgb(118.57877338014039,131.37631879854027,117.26153904894873)"
牡丹皮,11.85710716,11.84524918,"rgb(98.73841844671632,132.02288233613532,132.1416227058465)"
木通,13.2485857,13.35712624,"rgb(171.4253303324996,116.40288018742194,118.84684207434593)"
木香,14.07097149,8.388224602,"rgb(193.07866298262215,145.86662076042424,100.13590940405258)"
牛蒡子,13.9044342,12.59880161,"rgb(136.5038868094857,104.74839357574142,113.66233673653166)"
牛膝,13.85041523,11.19984913,"rgb(45.91499607522422,78.95231446517526,82.86037928676916)"
秦艽,12.17142963,10.57996559,"rgb(100.40823393987519,129.4938673861169,121.07107204150499)"
秦皮,12.24399757,11.91478348,"rgb(71.08771747789952,124.27117438205146,128.07282192520162)"
青蒿,12.22982597,11.3500824,"rgb(50.67952769392657,125.18924855922792,126.03055933137013)"
人参,15.03063679,9.909865379,"rgb(165.92836118689752,122.5222110976304,66.29026353102925)"
肉桂,13.2063427,10.45853043,"rgb(86.44146230961556,110.52590218014373,99.16387702409891)"
乳香,12.97009754,9.981665611,"rgb(116.7608315313004,123.3640320819839,105.05210374605157)"
桑白皮,15.07508564,12.46360111,"rgb(176.68811565263394,144.8429589795719,144.22258431410813)"
升麻,14.84619427,10.54172897,"rgb(141.14816264297306,114.07938204852812,75.87518610808321)"
石膏,15.10487556,12.33476925,"rgb(160,160,160)"
